REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,TRBGSL005,1,2033,999999.0
RE1,TRBGSL005,1,2034,999999.0
RE1,TRBGSL005,1,2035,999999.0
RE1,TRBGSL005,1,2036,999999.0
RE1,TRBGSL005,1,2037,999999.0
RE1,TRBGSL005,1,2038,999999.0
RE1,TRBGSL005,1,2039,999999.0
RE1,TRBGSL005,1,2040,999999.0
RE1,TRBGSL005,1,2041,999999.0
RE1,TRBGSL005,1,2042,999999.0
RE1,TRBGSL005,1,2043,999999.0
RE1,TRBGSL005,1,2044,999999.0
RE1,TRBGSL005,1,2045,999999.0
RE1,TRBGSL005,1,2046,999999.0
RE1,TRBGSL005,1,2047,999999.0
RE1,TRBGSL005,1,2048,999999.0
RE1,TRBGSL005,1,2049,999999.0
RE1,TRBGSL005,1,2050,999999.0
RE1,TRBGSL010,1,2019,999999.0
RE1,TRBGSL010,1,2020,999999.0
RE1,TRBGSL010,1,2021,999999.0
RE1,TRBGSL010,1,2022,999999.0
RE1,TRBGSL010,1,2023,999999.0
RE1,TRBGSL010,1,2024,999999.0
RE1,TRBGSL010,1,2025,999999.0
RE1,TRBGSL010,1,2026,999999.0
RE1,TRBGSL010,1,2027,999999.0
RE1,TRBGSL010,1,2028,999999.0
RE1,TRBGSL010,1,2029,999999.0
RE1,TRBGSL010,1,2030,999999.0
RE1,TRBGSL010,1,2031,999999.0
RE1,TRBGSL010,1,2032,999999.0
RE1,TRBGSL010,1,2033,999999.0
RE1,TRBGSL010,1,2034,999999.0
RE1,TRBGSL010,1,2035,999999.0
RE1,TRBGSL010,1,2036,999999.0
RE1,TRBGSL010,1,2037,999999.0
RE1,TRBGSL010,1,2038,999999.0
RE1,TRBGSL010,1,2039,999999.0
RE1,TRBGSL010,1,2040,999999.0
RE1,TRBGSL010,1,2041,999999.0
RE1,TRBGSL010,1,2042,999999.0
RE1,TRBGSL010,1,2043,999999.0
RE1,TRBGSL010,1,2044,999999.0
RE1,TRBGSL010,1,2045,999999.0
RE1,TRBGSL010,1,2046,999999.0
RE1,TRBGSL010,1,2047,999999.0
RE1,TRBGSL010,1,2048,999999.0
RE1,TRBGSL010,1,2049,999999.0
RE1,TRBGSL010,1,2050,999999.0
RE1,TRCDSL001,1,2019,999999.0
RE1,TRCDSL001,1,2020,999999.0
RE1,TRCDSL001,1,2021,999999.0
RE1,TRCDSL001,1,2022,999999.0
RE1,TRCDSL001,1,2023,999999.0
RE1,TRCDSL001,1,2024,999999.0
RE1,TRCDSL001,1,2025,999999.0
RE1,TRCDSL001,1,2026,999999.0
RE1,TRCDSL001,1,2027,999999.0
RE1,TRCDSL001,1,2028,999999.0
RE1,TRCDSL001,1,2029,999999.0
RE1,TRCDSL001,1,2030,999999.0
RE1,TRCDSL001,1,2031,999999.0
RE1,TRCDSL001,1,2032,999999.0
RE1,TRCDSL001,1,2033,999999.0
RE1,TRCDSL001,1,2034,999999.0
RE1,TRCDSL001,1,2035,999999.0
RE1,TRCDSL001,1,2036,999999.0
RE1,TRCDSL001,1,2037,999999.0
RE1,TRCDSL001,1,2038,999999.0
RE1,TRCDSL001,1,2039,999999.0
RE1,TRCDSL001,1,2040,999999.0
RE1,TRCDSL001,1,2041,999999.0
RE1,TRCDSL001,1,2042,999999.0
RE1,TRCDSL001,1,2043,999999.0
RE1,TRCDSL001,1,2044,999999.0
RE1,TRCDSL001,1,2045,999999.0
RE1,TRCDSL001,1,2046,999999.0
RE1,TRCDSL001,1,2047,999999.0
RE1,TRCDSL001,1,2048,999999.0
RE1,TRCDSL001,1,2049,999999.0
RE1,TRCDSL001,1,2050,999999.0
RE1,TRCDSL005,1,2019,999999.0
RE1,TRCDSL005,1,2020,999999.0
RE1,TRCDSL005,1,2021,999999.0
RE1,TRCDSL005,1,2022,999999.0
RE1,TRCDSL005,1,2023,999999.0
RE1,TRCDSL005,1,2024,999999.0
RE1,TRCDSL005,1,2025,999999.0
RE1,TRCDSL005,1,2026,999999.0
RE1,TRCDSL005,1,2027,999999.0
RE1,TRCDSL005,1,2028,999999.0
RE1,TRCDSL005,1,2029,999999.0
RE1,TRCDSL005,1,2030,999999.0
RE1,TRCDSL005,1,2031,999999.0
RE1,TRCDSL005,1,2032,999999.0
RE1,TRCDSL005,1,2033,999999.0
RE1,TRCDSL005,1,2034,999999.0
RE1,TRCDSL005,1,2035,999999.0
RE1,TRCDSL005,1,2036,999999.0
RE1,TRCDSL005,1,2037,999999.0
RE1,TRCDSL005,1,2038,999999.0
RE1,TRCDSL005,1,2039,999999.0
RE1,TRCDSL005,1,2040,999999.0
RE1,TRCDSL005,1,2041,999999.0
RE1,TRCDSL005,1,2042,999999.0
RE1,TRCDSL005,1,2043,999999.0
RE1,TRCDSL005,1,2044,999999.0
RE1,TRCDSL005,1,2045,999999.0
RE1,TRCDSL005,1,2046,999999.0
RE1,TRCDSL005,1,2047,999999.0
RE1,TRCDSL005,1,2048,999999.0
RE1,TRCDSL005,1,2049,999999.0
RE1,TRCDSL005,1,2050,999999.0
RE1,TRCDSL010,1,2019,999999.0
RE1,TRCDSL010,1,2020,999999.0
RE1,TRCDSL010,1,2021,999999.0
RE1,TRCDSL010,1,2022,999999.0
RE1,TRCDSL010,1,2023,999999.0
RE1,TRCDSL010,1,2024,999999.0
RE1,TRCDSL010,1,2025,999999.0
RE1,TRCDSL010,1,2026,999999.0
RE1,TRCDSL010,1,2027,999999.0
RE1,TRCDSL010,1,2028,999999.0
RE1,TRCDSL010,1,2029,999999.0
RE1,TRCDSL010,1,2030,999999.0
RE1,TRCDSL010,1,2031,999999.0
RE1,TRCDSL010,1,2032,999999.0
RE1,TRCDSL010,1,2033,999999.0
RE1,TRCDSL010,1,2034,999999.0
RE1,TRCDSL010,1,2035,999999.0
RE1,TRCDSL010,1,2036,999999.0
RE1,TRCDSL010,1,2037,999999.0
RE1,TRCDSL010,1,2038,999999.0
RE1,TRCDSL010,1,2039,999999.0
RE1,TRCDSL010,1,2040,999999.0
RE1,TRCDSL010,1,2041,999999.0
RE1,TRCDSL010,1,2042,999999.0
RE1,TRCDSL010,1,2043,999999.0
RE1,TRCDSL010,1,2044,999999.0
RE1,TRCDSL010,1,2045,999999.0
RE1,TRCDSL010,1,2046,999999.0
RE1,TRCDSL010,1,2047,999999.0
RE1,TRCDSL010,1,2048,999999.0
RE1,TRCDSL010,1,2049,999999.0
RE1,TRCDSL010,1,2050,999999.0
RE1,TRCELC001,1,2019,999999.0
RE1,TRCELC001,1,2020,999999.0
RE1,TRCELC001,1,2021,999999.0
RE1,TRCELC001,1,2022,999999.0
RE1,TRCELC001,1,2023,999999.0
RE1,TRCELC001,1,2024,999999.0
RE1,TRCELC001,1,2025,999999.0
RE1,TRCELC001,1,2026,999999.0
RE1,TRCELC001,1,2027,999999.0
RE1,TRCELC001,1,2028,999999.0
RE1,TRCELC001,1,2029,999999.0
RE1,TRCELC001,1,2030,999999.0
RE1,TRCELC001,1,2031,999999.0
RE1,TRCELC001,1,2032,999999.0
RE1,TRCELC001,1,2033,999999.0
RE1,TRCELC001,1,2034,999999.0
RE1,TRCELC001,1,2035,999999.0
RE1,TRCELC001,1,2036,999999.0
RE1,TRCELC001,1,2037,999999.0
RE1,TRCELC001,1,2038,999999.0
RE1,TRCELC001,1,2039,999999.0
RE1,TRCELC001,1,2040,999999.0
RE1,TRCELC001,1,2041,999999.0
RE1,TRCELC001,1,2042,999999.0
RE1,TRCELC001,1,2043,999999.0
RE1,TRCELC001,1,2044,999999.0
RE1,TRCELC001,1,2045,999999.0
RE1,TRCELC001,1,2046,999999.0
RE1,TRCELC001,1,2047,999999.0
RE1,TRCELC001,1,2048,999999.0
RE1,TRCELC001,1,2049,999999.0
RE1,TRCELC001,1,2050,999999.0
RE1,TRCGSL001,1,2019,999999.0
RE1,TRCGSL001,1,2020,999999.0
RE1,TRCGSL001,1,2021,999999.0
RE1,TRCGSL001,1,2022,999999.0
RE1,TRCGSL001,1,2023,999999.0
RE1,TRCGSL001,1,2024,999999.0
RE1,TRCGSL001,1,2025,999999.0
RE1,TRCGSL001,1,2026,999999.0
RE1,TRCGSL001,1,2027,999999.0
RE1,TRCGSL001,1,2028,999999.0
RE1,TRCGSL001,1,2029,999999.0
RE1,TRCGSL001,1,2030,999999.0
RE1,TRCGSL001,1,2031,999999.0
RE1,TRCGSL001,1,2032,999999.0
RE1,TRCGSL001,1,2033,999999.0
RE1,TRCGSL001,1,2034,999999.0
RE1,TRCGSL001,1,2035,999999.0
RE1,TRCGSL001,1,2036,999999.0
RE1,TRCGSL001,1,2037,999999.0
RE1,TRCGSL001,1,2038,999999.0
RE1,TRCGSL001,1,2039,999999.0
RE1,TRCGSL001,1,2040,999999.0
RE1,TRCGSL001,1,2041,999999.0
RE1,TRCGSL001,1,2042,999999.0
RE1,TRCGSL001,1,2043,999999.0
RE1,TRCGSL001,1,2044,999999.0
RE1,TRCGSL001,1,2045,999999.0
RE1,TRCGSL001,1,2046,999999.0
RE1,TRCGSL001,1,2047,999999.0
RE1,TRCGSL001,1,2048,999999.0
RE1,TRCGSL001,1,2049,999999.0
RE1,TRCGSL001,1,2050,999999.0
RE1,TRCGSL005,1,2019,999999.0
RE1,TRCGSL005,1,2020,999999.0
RE1,TRCGSL005,1,2021,999999.0
RE1,TRCGSL005,1,2022,999999.0
RE1,TRCGSL005,1,2023,999999.0
RE1,TRCGSL005,1,2024,999999.0
RE1,TRCGSL005,1,2025,999999.0
RE1,TRCGSL005,1,2026,999999.0
RE1,TRCGSL005,1,2027,999999.0
RE1,TRCGSL005,1,2028,999999.0
RE1,TRCGSL005,1,2029,999999.0
RE1,TRCGSL005,1,2030,999999.0
RE1,TRCGSL005,1,2031,999999.0
RE1,TRCGSL005,1,2032,999999.0
RE1,TRCGSL005,1,2033,999999.0
RE1,TRCGSL005,1,2034,999999.0
RE1,TRCGSL005,1,2035,999999.0
RE1,TRCGSL005,1,2036,999999.0
RE1,TRCGSL005,1,2037,999999.0
RE1,TRCGSL005,1,2038,999999.0
RE1,TRCGSL005,1,2039,999999.0
RE1,TRCGSL005,1,2040,999999.0
RE1,TRCGSL005,1,2041,999999.0
RE1,TRCGSL005,1,2042,999999.0
RE1,TRCGSL005,1,2043,999999.0
RE1,TRCGSL005,1,2044,999999.0
RE1,TRCGSL005,1,2045,999999.0
RE1,TRCGSL005,1,2046,999999.0
RE1,TRCGSL005,1,2047,999999.0
RE1,TRCGSL005,1,2048,999999.0
RE1,TRCGSL005,1,2049,999999.0
RE1,TRCGSL005,1,2050,999999.0
RE1,TRCGSL010,1,2019,999999.0
RE1,TRCGSL010,1,2020,999999.0
RE1,TRCGSL010,1,2021,999999.0
RE1,TRCGSL010,1,2022,999999.0
RE1,TRCGSL010,1,2023,999999.0
RE1,TRCGSL010,1,2024,999999.0
RE1,TRCGSL010,1,2025,999999.0
RE1,TRCGSL010,1,2026,999999.0
RE1,TRCGSL010,1,2027,999999.0
RE1,TRCGSL010,1,2028,999999.0
RE1,TRCGSL010,1,2029,999999.0
RE1,TRCGSL010,1,2030,999999.0
RE1,TRCGSL010,1,2031,999999.0
RE1,TRCGSL010,1,2032,999999.0
RE1,TRCGSL010,1,2033,999999.0
RE1,TRCGSL010,1,2034,999999.0
RE1,TRCGSL010,1,2035,999999.0
RE1,TRCGSL010,1,2036,999999.0
RE1,TRCGSL010,1,2037,999999.0
RE1,TRCGSL010,1,2038,999999.0
RE1,TRCGSL010,1,2039,999999.0
RE1,TRCGSL010,1,2040,999999.0
RE1,TRCGSL010,1,2041,999999.0
RE1,TRCGSL010,1,2042,999999.0
RE1,TRCGSL010,1,2043,999999.0
RE1,TRCGSL010,1,2044,999999.0
RE1,TRCGSL010,1,2045,999999.0
RE1,TRCGSL010,1,2046,999999.0
RE1,TRCGSL010,1,2047,999999.0
RE1,TRCGSL010,1,2048,999999.0
RE1,TRCGSL010,1,2049,999999.0
RE1,TRCGSL010,1,2050,999999.0
RE1,TRHDSL001,1,2019,999999.0
RE1,TRHDSL001,1,2020,999999.0
RE1,TRHDSL001,1,2021,999999.0
RE1,TRHDSL001,1,2022,999999.0
RE1,TRHDSL001,1,2023,999999.0
RE1,TRHDSL001,1,2024,999999.0
RE1,TRHDSL001,1,2025,999999.0
RE1,TRHDSL001,1,2026,999999.0
RE1,TRHDSL001,1,2027,999999.0
RE1,TRHDSL001,1,2028,999999.0
RE1,TRHDSL001,1,2029,999999.0
RE1,TRHDSL001,1,2030,999999.0
RE1,TRHDSL001,1,2031,999999.0
RE1,TRHDSL001,1,2032,999999.0
RE1,TRHDSL001,1,2033,999999.0
RE1,TRHDSL001,1,2034,999999.0
RE1,TRHDSL001,1,2035,999999.0
RE1,TRHDSL001,1,2036,999999.0
RE1,TRHDSL001,1,2037,999999.0
RE1,TRHDSL001,1,2038,999999.0
RE1,TRHDSL001,1,2039,999999.0
RE1,TRHDSL001,1,2040,999999.0
RE1,TRHDSL001,1,2041,999999.0
RE1,TRHDSL001,1,2042,999999.0
RE1,TRHDSL001,1,2043,999999.0
RE1,TRHDSL001,1,2044,999999.0
RE1,TRHDSL001,1,2045,999999.0
RE1,TRHDSL001,1,2046,999999.0
RE1,TRHDSL001,1,2047,999999.0
RE1,TRHDSL001,1,2048,999999.0
RE1,TRHDSL001,1,2049,999999.0
RE1,TRHDSL001,1,2050,999999.0
RE1,TRHDSL005,1,2019,999999.0
RE1,TRHDSL005,1,2020,999999.0
RE1,TRHDSL005,1,2021,999999.0
RE1,TRHDSL005,1,2022,999999.0
RE1,TRHDSL005,1,2023,999999.0
RE1,TRHDSL005,1,2024,999999.0
RE1,TRHDSL005,1,2025,999999.0
RE1,TRHDSL005,1,2026,999999.0
RE1,TRHDSL005,1,2027,999999.0
RE1,TRHDSL005,1,2028,999999.0
RE1,TRHDSL005,1,2029,999999.0
RE1,TRHDSL005,1,2030,999999.0
RE1,TRHDSL005,1,2031,999999.0
RE1,TRHDSL005,1,2032,999999.0
RE1,TRHDSL005,1,2033,999999.0
RE1,TRHDSL005,1,2034,999999.0
RE1,TRHDSL005,1,2035,999999.0
RE1,TRHDSL005,1,2036,999999.0
RE1,TRHDSL005,1,2037,999999.0
RE1,TRHDSL005,1,2038,999999.0
RE1,TRHDSL005,1,2039,999999.0
RE1,TRHDSL005,1,2040,999999.0
RE1,TRHDSL005,1,2041,999999.0
RE1,TRHDSL005,1,2042,999999.0
RE1,TRHDSL005,1,2043,999999.0
RE1,TRHDSL005,1,2044,999999.0
RE1,TRHDSL005,1,2045,999999.0
RE1,TRHDSL005,1,2046,999999.0
RE1,TRHDSL005,1,2047,999999.0
RE1,TRHDSL005,1,2048,999999.0
RE1,TRHDSL005,1,2049,999999.0
RE1,TRHDSL005,1,2050,999999.0
RE1,TRHDSL010,1,2019,999999.0
RE1,TRHDSL010,1,2020,999999.0
RE1,TRHDSL010,1,2021,999999.0
RE1,TRHDSL010,1,2022,999999.0
RE1,TRHDSL010,1,2023,999999.0
RE1,TRHDSL010,1,2024,999999.0
RE1,TRHDSL010,1,2025,999999.0
RE1,TRHDSL010,1,2026,999999.0
RE1,TRHDSL010,1,2027,999999.0
RE1,TRHDSL010,1,2028,999999.0
RE1,TRHDSL010,1,2029,999999.0
RE1,TRHDSL010,1,2030,999999.0
RE1,TRHDSL010,1,2031,999999.0
RE1,TRHDSL010,1,2032,999999.0
RE1,TRHDSL010,1,2033,999999.0
RE1,TRHDSL010,1,2034,999999.0
RE1,TRHDSL010,1,2035,999999.0
RE1,TRHDSL010,1,2036,999999.0
RE1,TRHDSL010,1,2037,999999.0
RE1,TRHDSL010,1,2038,999999.0
RE1,TRHDSL010,1,2039,999999.0
RE1,TRHDSL010,1,2040,999999.0
RE1,TRHDSL010,1,2041,999999.0
RE1,TRHDSL010,1,2042,999999.0
RE1,TRHDSL010,1,2043,999999.0
RE1,TRHDSL010,1,2044,999999.0
RE1,TRHDSL010,1,2045,999999.0
RE1,TRHDSL010,1,2046,999999.0
RE1,TRHDSL010,1,2047,999999.0
RE1,TRHDSL010,1,2048,999999.0
RE1,TRHDSL010,1,2049,999999.0
RE1,TRHDSL010,1,2050,999999.0
RE1,TRHGSL001,1,2019,999999.0
RE1,TRHGSL001,1,2020,999999.0
RE1,TRHGSL001,1,2021,999999.0
RE1,TRHGSL001,1,2022,999999.0
RE1,TRHGSL001,1,2023,999999.0
RE1,TRHGSL001,1,2024,999999.0
RE1,TRHGSL001,1,2025,999999.0
RE1,TRHGSL001,1,2026,999999.0
RE1,TRHGSL001,1,2027,999999.0
RE1,TRHGSL001,1,2028,999999.0
RE1,TRHGSL001,1,2029,999999.0
RE1,TRHGSL001,1,2030,999999.0
RE1,TRHGSL001,1,2031,999999.0
RE1,TRHGSL001,1,2032,999999.0
RE1,TRHGSL001,1,2033,999999.0
RE1,TRHGSL001,1,2034,999999.0
RE1,TRHGSL001,1,2035,999999.0
RE1,TRHGSL001,1,2036,999999.0
RE1,TRHGSL001,1,2037,999999.0
RE1,TRHGSL001,1,2038,999999.0
RE1,TRHGSL001,1,2039,999999.0
RE1,TRHGSL001,1,2040,999999.0
RE1,TRHGSL001,1,2041,999999.0
RE1,TRHGSL001,1,2042,999999.0
RE1,TRHGSL001,1,2043,999999.0
RE1,TRHGSL001,1,2044,999999.0
RE1,TRHGSL001,1,2045,999999.0
RE1,TRHGSL001,1,2046,999999.0
RE1,TRHGSL001,1,2047,999999.0
RE1,TRHGSL001,1,2048,999999.0
RE1,TRHGSL001,1,2049,999999.0
RE1,TRHGSL001,1,2050,999999.0
RE1,TRHGSL005,1,2019,999999.0
RE1,TRHGSL005,1,2020,999999.0
RE1,TRHGSL005,1,2021,999999.0
RE1,TRHGSL005,1,2022,999999.0
RE1,TRHGSL005,1,2023,999999.0
RE1,TRHGSL005,1,2024,999999.0
RE1,TRHGSL005,1,2025,999999.0
RE1,TRHGSL005,1,2026,999999.0
RE1,TRHGSL005,1,2027,999999.0
RE1,TRHGSL005,1,2028,999999.0
RE1,TRHGSL005,1,2029,999999.0
RE1,TRHGSL005,1,2030,999999.0
RE1,TRHGSL005,1,2031,999999.0
RE1,TRHGSL005,1,2032,999999.0
RE1,TRHGSL005,1,2033,999999.0
RE1,TRHGSL005,1,2034,999999.0
RE1,TRHGSL005,1,2035,999999.0
RE1,TRHGSL005,1,2036,999999.0
RE1,TRHGSL005,1,2037,999999.0
RE1,TRHGSL005,1,2038,999999.0
RE1,TRHGSL005,1,2039,999999.0
RE1,TRHGSL005,1,2040,999999.0
RE1,TRHGSL005,1,2041,999999.0
RE1,TRHGSL005,1,2042,999999.0
RE1,TRHGSL005,1,2043,999999.0
RE1,TRHGSL005,1,2044,999999.0
RE1,TRHGSL005,1,2045,999999.0
RE1,TRHGSL005,1,2046,999999.0
RE1,TRHGSL005,1,2047,999999.0
RE1,TRHGSL005,1,2048,999999.0
RE1,TRHGSL005,1,2049,999999.0
RE1,TRHGSL005,1,2050,999999.0
RE1,TRHGSL010,1,2019,999999.0
RE1,TRHGSL010,1,2020,999999.0
RE1,TRHGSL010,1,2021,999999.0
RE1,TRHGSL010,1,2022,999999.0
RE1,TRHGSL010,1,2023,999999.0
RE1,TRHGSL010,1,2024,999999.0
RE1,TRHGSL010,1,2025,999999.0
RE1,TRHGSL010,1,2026,999999.0
RE1,TRHGSL010,1,2027,999999.0
RE1,TRHGSL010,1,2028,999999.0
RE1,TRHGSL010,1,2029,999999.0
RE1,TRHGSL010,1,2030,999999.0
RE1,TRHGSL010,1,2031,999999.0
RE1,TRHGSL010,1,2032,999999.0
RE1,TRHGSL010,1,2033,999999.0
RE1,TRHGSL010,1,2034,999999.0
RE1,TRHGSL010,1,2035,999999.0
RE1,TRHGSL010,1,2036,999999.0
RE1,TRHGSL010,1,2037,999999.0
RE1,TRHGSL010,1,2038,999999.0
RE1,TRHGSL010,1,2039,999999.0
RE1,TRHGSL010,1,2040,999999.0
RE1,TRHGSL010,1,2041,999999.0
RE1,TRHGSL010,1,2042,999999.0
RE1,TRHGSL010,1,2043,999999.0
RE1,TRHGSL010,1,2044,999999.0
RE1,TRHGSL010,1,2045,999999.0
RE1,TRHGSL010,1,2046,999999.0
RE1,TRHGSL010,1,2047,999999.0
RE1,TRHGSL010,1,2048,999999.0
RE1,TRHGSL010,1,2049,999999.0
RE1,TRHGSL010,1,2050,999999.0
RE1,TRLDSL001,1,2019,999999.0
RE1,TRLDSL001,1,2020,999999.0
RE1,TRLDSL001,1,2021,999999.0
RE1,TRLDSL001,1,2022,999999.0
RE1,TRLDSL001,1,2023,999999.0
RE1,TRLDSL001,1,2024,999999.0
RE1,TRLDSL001,1,2025,999999.0
RE1,TRLDSL001,1,2026,999999.0
RE1,TRLDSL001,1,2027,999999.0
RE1,TRLDSL001,1,2028,999999.0
RE1,TRLDSL001,1,2029,999999.0
RE1,TRLDSL001,1,2030,999999.0
RE1,TRLDSL001,1,2031,999999.0
RE1,TRLDSL001,1,2032,999999.0
RE1,TRLDSL001,1,2033,999999.0
RE1,TRLDSL001,1,2034,999999.0
RE1,TRLDSL001,1,2035,999999.0
RE1,TRLDSL001,1,2036,999999.0
RE1,TRLDSL001,1,2037,999999.0
RE1,TRLDSL001,1,2038,999999.0
RE1,TRLDSL001,1,2039,999999.0
RE1,TRLDSL001,1,2040,999999.0
RE1,TRLDSL001,1,2041,999999.0
RE1,TRLDSL001,1,2042,999999.0
RE1,TRLDSL001,1,2043,999999.0
RE1,TRLDSL001,1,2044,999999.0
RE1,TRLDSL001,1,2045,999999.0
RE1,TRLDSL001,1,2046,999999.0
RE1,TRLDSL001,1,2047,999999.0
RE1,TRLDSL001,1,2048,999999.0
RE1,TRLDSL001,1,2049,999999.0
RE1,TRLDSL001,1,2050,999999.0
RE1,TRLDSL005,1,2019,999999.0
RE1,TRLDSL005,1,2020,999999.0
RE1,TRLDSL005,1,2021,999999.0
RE1,TRLDSL005,1,2022,999999.0
RE1,TRLDSL005,1,2023,999999.0
RE1,TRLDSL005,1,2024,999999.0
RE1,TRLDSL005,1,2025,999999.0
RE1,TRLDSL005,1,2026,999999.0
RE1,TRLDSL005,1,2027,999999.0
RE1,TRLDSL005,1,2028,999999.0
RE1,TRLDSL005,1,2029,999999.0
RE1,TRLDSL005,1,2030,999999.0
RE1,TRLDSL005,1,2031,999999.0
RE1,TRLDSL005,1,2032,999999.0
RE1,TRLDSL005,1,2033,999999.0
RE1,TRLDSL005,1,2034,999999.0
RE1,TRLDSL005,1,2035,999999.0
RE1,TRLDSL005,1,2036,999999.0
RE1,TRLDSL005,1,2037,999999.0
RE1,TRLDSL005,1,2038,999999.0
RE1,TRLDSL005,1,2039,999999.0
RE1,TRLDSL005,1,2040,999999.0
RE1,TRLDSL005,1,2041,999999.0
RE1,TRLDSL005,1,2042,999999.0
RE1,TRLDSL005,1,2043,999999.0
RE1,TRLDSL005,1,2044,999999.0
RE1,TRLDSL005,1,2045,999999.0
RE1,TRLDSL005,1,2046,999999.0
RE1,TRLDSL005,1,2047,999999.0
RE1,TRLDSL005,1,2048,999999.0
RE1,TRLDSL005,1,2049,999999.0
RE1,TRLDSL005,1,2050,999999.0
RE1,TRLDSL010,1,2019,999999.0
RE1,TRLDSL010,1,2020,999999.0
RE1,TRLDSL010,1,2021,999999.0
RE1,TRLDSL010,1,2022,999999.0
RE1,TRLDSL010,1,2023,999999.0
RE1,TRLDSL010,1,2024,999999.0
RE1,TRLDSL010,1,2025,999999.0
RE1,TRLDSL010,1,2026,999999.0
RE1,TRLDSL010,1,2027,999999.0
RE1,TRLDSL010,1,2028,999999.0
RE1,TRLDSL010,1,2029,999999.0
RE1,TRLDSL010,1,2030,999999.0
RE1,TRLDSL010,1,2031,999999.0
RE1,TRLDSL010,1,2032,999999.0
RE1,TRLDSL010,1,2033,999999.0
RE1,TRLDSL010,1,2034,999999.0
RE1,TRLDSL010,1,2035,999999.0
RE1,TRLDSL010,1,2036,999999.0
RE1,TRLDSL010,1,2037,999999.0
RE1,TRLDSL010,1,2038,999999.0
RE1,TRLDSL010,1,2039,999999.0
RE1,TRLDSL010,1,2040,999999.0
RE1,TRLDSL010,1,2041,999999.0
RE1,TRLDSL010,1,2042,999999.0
RE1,TRLDSL010,1,2043,999999.0
RE1,TRLDSL010,1,2044,999999.0
RE1,TRLDSL010,1,2045,999999.0
RE1,TRLDSL010,1,2046,999999.0
RE1,TRLDSL010,1,2047,999999.0
RE1,TRLDSL010,1,2048,999999.0
RE1,TRLDSL010,1,2049,999999.0
RE1,TRLDSL010,1,2050,999999.0
RE1,TRLELC005,1,2019,999999.0
RE1,TRLELC005,1,2020,999999.0
RE1,TRLELC005,1,2021,999999.0
RE1,TRLELC005,1,2022,999999.0
RE1,TRLELC005,1,2023,999999.0
RE1,TRLELC005,1,2024,999999.0
RE1,TRLELC005,1,2025,999999.0
RE1,TRLELC005,1,2026,999999.0
RE1,TRLELC005,1,2027,999999.0
RE1,TRLELC005,1,2028,999999.0
RE1,TRLELC005,1,2029,999999.0
RE1,TRLELC005,1,2030,999999.0
RE1,TRLELC005,1,2031,999999.0
RE1,TRLELC005,1,2032,999999.0
RE1,TRLELC005,1,2033,999999.0
RE1,TRLELC005,1,2034,999999.0
RE1,TRLELC005,1,2035,999999.0
RE1,TRLELC005,1,2036,999999.0
RE1,TRLELC005,1,2037,999999.0
RE1,TRLELC005,1,2038,999999.0
RE1,TRLELC005,1,2039,999999.0
RE1,TRLELC005,1,2040,999999.0
RE1,TRLELC005,1,2041,999999.0
RE1,TRLELC005,1,2042,999999.0
RE1,TRLELC005,1,2043,999999.0
RE1,TRLELC005,1,2044,999999.0
RE1,TRLELC005,1,2045,999999.0
RE1,TRLELC005,1,2046,999999.0
RE1,TRLELC005,1,2047,999999.0
RE1,TRLELC005,1,2048,999999.0
RE1,TRLELC005,1,2049,999999.0
RE1,TRLELC005,1,2050,999999.0
RE1,TRLGSL001,1,2019,999999.0
RE1,TRLGSL001,1,2020,999999.0
RE1,TRLGSL001,1,2021,999999.0
RE1,TRLGSL001,1,2022,999999.0
RE1,TRLGSL001,1,2023,999999.0
RE1,TRLGSL001,1,2024,999999.0
RE1,TRLGSL001,1,2025,999999.0
RE1,TRLGSL001,1,2026,999999.0
RE1,TRLGSL001,1,2027,999999.0
RE1,TRLGSL001,1,2028,999999.0
RE1,TRLGSL001,1,2029,999999.0
RE1,TRLGSL001,1,2030,999999.0
RE1,TRLGSL001,1,2031,999999.0
RE1,TRLGSL001,1,2032,999999.0
RE1,TRLGSL001,1,2033,999999.0
RE1,TRLGSL001,1,2034,999999.0
RE1,TRLGSL001,1,2035,999999.0
RE1,TRLGSL001,1,2036,999999.0
RE1,TRLGSL001,1,2037,999999.0
RE1,TRLGSL001,1,2038,999999.0
RE1,TRLGSL001,1,2039,999999.0
RE1,TRLGSL001,1,2040,999999.0
RE1,TRLGSL001,1,2041,999999.0
RE1,TRLGSL001,1,2042,999999.0
RE1,TRLGSL001,1,2043,999999.0
RE1,TRLGSL001,1,2044,999999.0
RE1,TRLGSL001,1,2045,999999.0
RE1,TRLGSL001,1,2046,999999.0
RE1,TRLGSL001,1,2047,999999.0
RE1,TRLGSL001,1,2048,999999.0
RE1,TRLGSL001,1,2049,999999.0
RE1,TRLGSL001,1,2050,999999.0
RE1,TRLGSL005,1,2019,999999.0
RE1,TRLGSL005,1,2020,999999.0
RE1,TRLGSL005,1,2021,999999.0
RE1,TRLGSL005,1,2022,999999.0
RE1,TRLGSL005,1,2023,999999.0
RE1,TRLGSL005,1,2024,999999.0
RE1,TRLGSL005,1,2025,999999.0
RE1,TRLGSL005,1,2026,999999.0
RE1,TRLGSL005,1,2027,999999.0
RE1,TRLGSL005,1,2028,999999.0
RE1,TRLGSL005,1,2029,999999.0
